                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.91341,                0.57005,                 1.0131,                0.93704,                 0.9398,                0.96443,                0.62383,                 1.2199,                0.58076,                0.98751,             0.00039197,             0.00039197,             0.00039197
                     45,                0.91777,                0.57459,                 1.0139,                0.93864,                0.93962,                0.96349,                 0.6239,                 1.2187,                0.57893,                0.98548,             0.00037188,             0.00037188,             0.00037188
                     46,                0.91022,                0.57052,                 1.0098,                   0.94,                0.94118,                0.96302,                0.62655,                 1.2083,                0.57685,                0.98252,             0.00035204,             0.00035204,             0.00035204
                     47,                0.90749,                0.56875,                 1.0092,                0.93938,                0.94118,                0.96251,                0.62679,                 1.2038,                0.57554,                0.98105,             0.00033246,             0.00033246,             0.00033246
                     48,                0.89978,                0.55887,                 1.0073,                0.94345,                0.93809,                0.96269,                0.62648,                  1.202,                0.57313,                0.98027,             0.00031318,             0.00031318,             0.00031318
                     49,                0.89537,                0.55525,                 1.0053,                0.94816,                0.93166,                0.96317,                0.62842,                 1.1981,                0.57228,                0.97905,             0.00029424,             0.00029424,             0.00029424
                     50,                0.89647,                0.55434,                 1.0041,                0.95057,                 0.9316,                0.96242,                0.62652,                 1.1978,                0.57384,                0.97924,             0.00027567,             0.00027567,             0.00027567
                     51,                0.89323,                0.55191,                 1.0012,                0.95069,                0.93391,                0.96338,                0.62775,                 1.1996,                0.57067,                0.97997,              0.0002575,              0.0002575,              0.0002575
                     52,                0.89144,                0.55343,                 1.0044,                0.94991,                0.93253,                0.96416,                0.62962,                 1.2012,                0.56921,                0.98008,             0.00023977,             0.00023977,             0.00023977
                     53,                0.89046,                0.54671,                 0.9984,                0.95252,                0.93166,                0.96417,                0.63105,                 1.2011,                0.56937,                0.97989,              0.0002225,              0.0002225,              0.0002225
